mileage,year,fuelType,price,engineVolume,power,registration,userType,gearBox,interiorMaterial,chassis
156000,2012,Dizel,6399,1560,66,Nije registrovan,dealer,Manuelni 5 brzina,Velur,Karavan
145000,2011,Dizel,5999,1461,66,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Limuzina
167456,2011,Dizel,6098,1461,66,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
176000,2007,Dizel,2999,1989,96,Nije registrovan,dealer,Manuelni 6 brzina,Drugi,Karavan
95917,2008,Benzin,4500,1598,82,Nije registrovan,dealer,Manuelni 5 brzina,Kombinovana koža,Hečbek
164099,2005,Dizel,3199,1896,96,Nije registrovan,user,Manuelni 6 brzina,Štof,Karavan
142826,2002,Benzin,2700,1598,83,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
161000,2003,Dizel,2799,1870,88,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
220000,2004,Dizel,2099,1498,60,04.2017.,user,Manuelni 5 brzina,Štof,Hečbek
176607,2003,Dizel,2399,1870,88,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Limuzina
150000,2002,Benzin,2300,1598,83,01.2017.,user,Manuelni 5 brzina,Štof,Hečbek
236000,2002,Benzin + Gas (TNG),1999,1600,79,08.2017.,user,Manuelni 5 brzina,Štof,Hečbek
152827,2004,Dizel,2750,1500,75,12.2016.,user,Manuelni 5 brzina,Štof,Karavan
168034,2012,Dizel,6700,1461,66,Nije registrovan,dealer,Manuelni 5 brzina,Velur,Karavan
140058,2005,Benzin,4290,1598,83,Nije registrovan,dealer,Manuelni 5 brzina,Prirodna koža,Kabriolet/Roadster
136000,2005,Dizel,2740,1498,74,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
192445,2003,Dizel,2400,1870,88,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
162300,2003,Benzin,2795,1985,99,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Hečbek
199000,2005,Dizel,2850,1896,88,Nije registrovan,user,Manuelni 6 brzina,Štof,Karavan
188000,2012,Dizel,7300,1496,81,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
167000,2005,Dizel,2999,1461,71,Nije registrovan,dealer,Manuelni 6 brzina,Kombinovana koža,Karavan
153207,2013,Dizel,7650,1461,66,Nije registrovan,dealer,Manuelni 5 brzina,,Karavan
191000,2006,Dizel,3490,1870,96,Nije registrovan,dealer,Manuelni 6 brzina,,Limuzina
139000,2001,Benzin,1850,1600,78,Nije registrovan,user,Manuelni 5 brzina,Štof,Karavan
130000,2011,Dizel,6690,1460,66,08.2017.,user,Manuelni 5 brzina,Kombinovana koža,Hečbek
178000,2004,Dizel,2799,1461,88,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
177000,2006,Dizel,3150,1900,96,Nije registrovan,user,Manuelni 6 brzina,Kombinovana koža,Hečbek
158000,2007,Dizel,3690,1496,78,Nije registrovan,dealer,Manuelni 5 brzina,,Hečbek
162482,2003,Dizel,2650,1461,60,Nije registrovan,dealer,Manuelni 5 brzina,,Limuzina
209000,2003,Dizel,2799,1461,60,Nije registrovan,dealer,Manuelni 5 brzina,,Hečbek
235000,2005,Dizel,2850,1900,88,05.2017.,dealer,Manuelni 6 brzina,Štof,Karavan
179000,2011,Dizel,5799,1461,66,07.2017.,dealer,Manuelni 5 brzina,Štof,Karavan
123000,2011,Dizel,7150,1461,66,Nije registrovan,dealer,Manuelni 5 brzina,,Hečbek
195646,2012,Dizel,6350,1461,66,Nije registrovan,dealer,Manuelni 5 brzina,Velur,Karavan
187493,2011,Dizel,6600,1496,81,11.2016.,user,Manuelni 6 brzina,Štof,Karavan
180000,2013,Dizel,7650,1500,81,Nije registrovan,user,Manuelni 6 brzina,Štof,Karavan
190000,2002,Dizel,999999999,1896,59,Nije registrovan,user,Manuelni 5 brzina,Štof,Limuzina
189000,2007,Dizel,3300,1461,63,Nije registrovan,user,Manuelni 5 brzina,Štof,Hečbek
208000,2005,Dizel,2900,1486,62,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
108000,2008,Dizel,3950,1870,96,Nije registrovan,dealer,Automatski,,Hečbek
143000,2011,Dizel,7450,1500,81,Nije registrovan,dealer,Automatski,Kombinovana koža,Karavan
180000,2013,Dizel,6950,1500,81,Nije registrovan,dealer,Manuelni 6 brzina,,Karavan
180281,2006,Dizel,2650,1461,63,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
219000,2003,Dizel,2250,1900,88,Nije registrovan,user,Manuelni 6 brzina,Štof,Karavan
194600,2003,Benzin,3300,1598,83,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Limuzina
180000,2001,Dizel,1550,1870,55,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Limuzina
255000,2005,Dizel,2800,1500,60,06.2017.,user,Manuelni 5 brzina,Štof,Hečbek
226000,2005,Dizel,2800,1900,96,Nije registrovan,user,Manuelni 6 brzina,Štof,Karavan
165792,2011,Dizel,6700,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
203000,2005,Dizel,3150,1870,88,Nije registrovan,dealer,Manuelni 6 brzina,,Karavan
151948,2011,Dizel,6390,1461,66,Nije registrovan,dealer,Manuelni 6 brzina,,Karavan
196000,2004,Dizel,2150,1993,70,08.2016.,dealer,Manuelni 6 brzina,Kombinovana koža,Karavan
146000,2001,Benzin,1890,1385,70,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Limuzina
115000,2006,Benzin,3550,1390,72,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Limuzina
183000,2005,Dizel,2800,1870,88,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
167000,2003,Benzin,2650,1598,74,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
122578,2012,Dizel,6490,1461,66,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Limuzina
183000,2009,Dizel,6250,1485,63,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
