mileage,year,fuelType,price,engineVolume,power,registration,userType,gearBox,interiorMaterial,chassis
205348,2007,Dizel,3899,1461,78,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Limuzina
200000,2008,Dizel,3500,1500,65,07.2017.,user,Manuelni 5 brzina,Velur,Hečbek
141000,2003,Benzin,2350,1400,72,11.2016.,user,Manuelni 5 brzina,Štof,Limuzina
140200,2002,Benzin,2200,1390,70,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
143000,2001,Dizel,1990,1900,75,Nije registrovan,user,Manuelni 5 brzina,,Karavan
222222,2003,Dizel,2099,1900,88,06.2017.,dealer,Manuelni 6 brzina,Štof,Hečbek
157000,2004,Dizel,3500,1900,88,08.2016.,user,Manuelni 6 brzina,Štof,Kabriolet/Roadster
157000,2003,Dizel,2299,1870,75,Nije registrovan,dealer,Manuelni 5 brzina,,Karavan
216086,2010,Dizel,6390,1870,96,07.2017.,dealer,Manuelni 6 brzina,Štof,Karavan
175000,2010,Dizel,5900,1490,80,06.2017.,dealer,Manuelni 6 brzina,Štof,Karavan
138000,2002,Dizel,2100,1870,59,12.2016.,saloon,Manuelni 5 brzina,Štof,Hečbek
140495,2012,Dizel,7900,1598,96,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
167405,2008,Dizel,3650,1489,63,Nije registrovan,dealer,Manuelni 5 brzina,,Karavan
115000,2011,Dizel,6450,1461,66,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
184133,2006,Benzin,3499,1598,82,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
179223,2003,Dizel,1990,1870,74,Nije registrovan,dealer,Manuelni 5 brzina,,Karavan
179000,2005,Dizel,2599,1870,88,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
194837,2010,Dizel,5750,1461,63,Nije registrovan,dealer,Manuelni 5 brzina,,Hečbek
180000,2004,Dizel,3400,1461,63,12.2016.,user,Manuelni 5 brzina,Štof,Karavan
210000,2005,Benzin + Gas (TNG),3000,1600,88,09.2016.,user,Manuelni 5 brzina,Štof,Karavan
146000,2011,Dizel,6700,1461,66,09.2016.,dealer,Manuelni 5 brzina,Štof,Limuzina
182000,2001,Dizel,2000,1900,75,02.2016.,user,Manuelni 5 brzina,,Karavan
183241,2005,Dizel,2699,1498,74,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
153000,2003,Dizel,2700,1498,60,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
144914,2001,Dizel,1790,1870,74,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
132610,2005,Benzin,2699,1600,83,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
184000,2012,Benzin + Gas (TNG),6990,1598,81,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
191000,2004,Dizel,2750,1900,88,Nije registrovan,dealer,Manuelni 6 brzina,,Karavan
196347,2006,Dizel,3400,1870,88,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
190000,2005,Dizel,3100,1870,88,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
176000,2005,Dizel,2750,1900,88,Nije registrovan,user,Manuelni 5 brzina,Prirodna koža,Hečbek
162000,2005,Dizel,3990,1870,105,Nije registrovan,dealer,Manuelni 6 brzina,Prirodna koža,Kabriolet/Roadster
198123,2006,Dizel,2599,1461,63,05.2017.,dealer,Manuelni 5 brzina,Velur,Hečbek
198000,2002,Benzin,1599,1598,79,Nije registrovan,user,Manuelni 5 brzina,Štof,Karavan
150720,2003,Benzin + Gas (TNG),2650,1598,83,07.2017.,user,Manuelni 5 brzina,Štof,Hečbek
150000,2005,Dizel,2550,1870,88,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
189000,2001,Dizel,1800,1900,74,11.2016.,user,Manuelni 5 brzina,Štof,Karavan
150000,2008,Dizel,3650,1870,96,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
187000,2005,Dizel,2550,1500,66,04.2017.,user,Manuelni 5 brzina,,Karavan
209000,2003,Dizel,2400,1500,60,01.2017.,user,Manuelni 5 brzina,Štof,Hečbek
180040,2005,Benzin,2750,1598,83,09.2016.,user,Manuelni 5 brzina,Štof,Karavan
160000,2009,Dizel,8250,1995,118,06.2017.,user,Manuelni 6 brzina,Kombinovana koža,Kupe
130714,2005,Dizel,3499,1500,78,05.2017.,user,Manuelni 6 brzina,Štof,Karavan
132235,2006,Benzin,1499,2000,98,Nije registrovan,user,Automatski,,Karavan
93000,2009,Benzin + Gas (TNG),8900,1600,81,11.2016.,user,Manuelni 6 brzina,Štof,Kupe
150558,2004,Benzin,2990,1598,83,04.2017.,user,Manuelni 5 brzina,Štof,Karavan
151254,2007,Benzin,4850,19975,100,04.2017.,user,Manuelni 6 brzina,Prirodna koža,Kabriolet/Roadster
312553,2006,Dizel,3390,1870,96,Nije registrovan,user,Manuelni 6 brzina,Kombinovana koža,Limuzina
150000,2003,Dizel,2200,1900,88,04.2017.,user,Manuelni 6 brzina,Štof,Hečbek
205000,2003,Dizel,2850,1870,88,07.2017.,user,Manuelni 6 brzina,Štof,Limuzina
235787,2004,Dizel,2700,1870,88,08.2017.,user,Manuelni 6 brzina,Štof,Limuzina
199000,2005,Dizel,2950,1900,88,11.2016.,user,Manuelni 6 brzina,Kombinovana koža,Hečbek
188900,2003,Benzin,2250,1598,83,Nije registrovan,user,Manuelni 5 brzina,Štof,Limuzina
165000,2007,Dizel,6500,1495,78,09.2016.,user,Manuelni 6 brzina,Kombinovana koža,Kabriolet/Roadster
230000,2004,Dizel,2800,1900,88,05.2017.,user,Manuelni 5 brzina,Štof,Hečbek
194000,2005,Dizel,3000,1486,74,10.2016.,user,Manuelni 5 brzina,Kombinovana koža,Hečbek
169000,2003,Dizel,2900,1900,88,02.2017.,user,Manuelni 6 brzina,Prirodna koža,Limuzina
96000,2005,Dizel,3299,1461,74,Nije registrovan,user,Manuelni 5 brzina,Štof,Karavan
189000,2004,Benzin + Gas (TNG),1500,1600,83,12.2016.,user,Manuelni 5 brzina,Štof,Limuzina
161000,2010,Dizel,7200,1461,81,Nije registrovan,user,Automatski,Kombinovana koža,Karavan
158000,2003,Dizel,2799,1461,60,Nije registrovan,user,Manuelni 5 brzina,Štof,Karavan
167250,2001,Benzin + Gas (TNG),2000,1400,70,05.2017.,user,Manuelni 5 brzina,Štof,Hečbek
197000,2004,Dizel,2650,1900,80,11.2016.,user,Manuelni 6 brzina,Štof,Karavan
267000,2003,Benzin + Gas (TNG),3000,1598,83,05.2017.,user,Manuelni 5 brzina,Štof,Limuzina
210000,2009,Dizel,3600,1500,55,08.2017.,user,Manuelni 5 brzina,Štof,Hečbek
205000,2007,Dizel,3600,1500,78,01.2017.,user,Manuelni 6 brzina,Štof,Hečbek
220000,2003,Dizel,2700,1870,88,01.2017.,user,Manuelni 6 brzina,Velur,Hečbek
205000,2005,Dizel,3250,1461,74,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
203000,2002,Benzin + Gas (TNG),2400,1600,86,04.2017.,user,Manuelni 5 brzina,Prirodna koža,Kabriolet/Roadster
33000,2011,Benzin,8500,1600,74,06.2017.,user,Manuelni 5 brzina,Štof,Hečbek
234000,2004,Benzin + Gas (TNG),3450,1598,81,06.2016.,user,Automatski,Štof,Karavan
250382,2001,Dizel,2000,1900,75,06.2016.,user,Manuelni 5 brzina,Štof,Karavan
169000,2003,Dizel,999999999,1499,59,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
160000,2002,Benzin,2200,1400,70,08.2016.,user,Manuelni 5 brzina,Štof,Kabriolet/Roadster
244000,2003,Dizel,2700,1495,58,Nije registrovan,user,Manuelni 5 brzina,Štof,Limuzina
163000,2004,Dizel,3000,1892,88,Nije registrovan,user,Manuelni 6 brzina,,Limuzina
109000,2006,Benzin,3140,1598,82,Nije registrovan,user,Automatski,Štof,Karavan
211000,2001,Benzin,1990,1598,79,04.2017.,user,Manuelni 5 brzina,Kombinovana koža,Kupe
186744,2004,Dizel,2690,1461,74,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
179103,2003,Benzin,1750,1600,80,Nije registrovan,dealer,Manuelni 5 brzina,Kombinovana koža,Karavan
181000,2001,Benzin,1990,1598,79,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
200000,2004,Dizel,2190,1870,88,Nije registrovan,user,Manuelni 5 brzina,,Karavan
163480,2014,Dizel,7799,1500,70,Nije registrovan,dealer,Manuelni 6 brzina,Velur,Hečbek
146900,2004,Dizel,2399,1870,88,Nije registrovan,dealer,Manuelni 6 brzina,Kombinovana koža,Karavan
177000,2002,Benzin,2000,1400,70,Nije registrovan,dealer,Manuelni 5 brzina,,Hečbek
171710,2010,Dizel,6200,1870,96,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
181375,2011,Dizel,6690,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
161270,2011,Dizel,6790,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
161265,2010,Dizel,5990,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
1111,2001,Dizel,1500,1870,75,08.2017.,user,Manuelni 5 brzina,Štof,Karavan
340000,2003,Benzin + Gas (TNG),1450,1600,79,09.2016.,user,Manuelni 5 brzina,Štof,Karavan
20000,2012,Benzin,19000,1998,243,05.2017.,user,Manuelni 6 brzina,Štof,Hečbek
146000,2006,Dizel,3500,1461,63,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
222123,2003,Dizel,2099,1498,60,04.2017.,user,Manuelni 5 brzina,Štof,Hečbek
225000,2003,Dizel,2600,1500,60,12.2016.,user,Manuelni 5 brzina,Štof,Hečbek
208000,2004,Dizel,2450,1900,88,10.2016.,user,Manuelni 6 brzina,Štof,Karavan
304000,2002,Dizel,1900,1870,59,09.2016.,user,Manuelni 5 brzina,,Limuzina
176312,2003,Dizel,2699,1870,88,07.2017.,user,Manuelni 6 brzina,Štof,Limuzina
92000,2009,Benzin,7200,1589,81,03.2017.,user,Manuelni 6 brzina,Štof,Kupe
208000,2005,Dizel,3000,1500,74,06.2017.,user,Manuelni 5 brzina,Štof,Hečbek
186000,2003,Dizel,2250,1870,75,08.2017.,user,Manuelni 5 brzina,Štof,Karavan
176991,2012,Dizel,7000,1461,66,08.2017.,user,Manuelni 5 brzina,Štof,Karavan
269000,2001,Benzin + Gas (TNG),1230,1400,70,12.2016.,user,Manuelni 5 brzina,Štof,Karavan
307455,2003,Dizel,2280,1461,60,08.2017.,user,Manuelni 5 brzina,Štof,Hečbek
206520,2006,Dizel,3000,1466,63,08.2017.,user,Manuelni 5 brzina,Štof,Limuzina
176590,2004,Dizel,3200,1500,60,05.2017.,user,Manuelni 5 brzina,Štof,Limuzina
370000,2001,Dizel,1750,1900,59,05.2017.,user,Manuelni 5 brzina,Štof,Karavan
203000,2004,Dizel,3200,1461,60,06.2017.,user,Manuelni 5 brzina,,Hečbek
239858,2001,Benzin + Gas (TNG),2000,1600,79,07.2017.,user,Manuelni 5 brzina,Štof,Karavan
270000,2001,Benzin,1750,1370,70,Nije registrovan,user,Manuelni 5 brzina,Štof,Karavan
135000,2005,Dizel,2790,1870,96,Nije registrovan,dealer,Manuelni 6 brzina,,Hečbek
182545,2005,Dizel,2750,1498,74,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
206000,2006,Dizel,3600,1983,96,07.2017.,user,Automatski,Štof,Karavan
195000,2004,Dizel,3200,1870,88,11.2016.,user,Manuelni 6 brzina,Štof,Karavan
225200,2004,Dizel,2050,1900,74,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
217000,2001,Dizel,1790,1870,75,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
184300,2001,Benzin,1900,1397,70,06.2016.,user,Manuelni 5 brzina,Štof,Karavan
175000,2003,Dizel,2550,1900,88,04.2017.,user,Manuelni 6 brzina,Kombinovana koža,Hečbek
184000,2002,Benzin,2350,1598,79,06.2017.,user,Manuelni 5 brzina,Štof,Karavan
228000,2002,Benzin + Gas (TNG),1900,1600,79,10.2016.,user,Manuelni 5 brzina,Štof,Karavan
191000,2008,Dizel,4200,1900,96,11.2016.,user,Manuelni 6 brzina,Štof,Karavan
243600,2004,Dizel,2399,1900,88,03.2017.,user,Manuelni 6 brzina,Velur,Karavan
361000,2001,Dizel,1650,1897,75,02.2017.,user,Manuelni 5 brzina,Štof,Karavan
164567,2012,Dizel,7250,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Hečbek
220000,2003,Dizel,2550,1870,88,06.2017.,user,Manuelni 6 brzina,Kombinovana koža,Limuzina
198530,2003,Benzin + Gas (TNG),2700,1589,85,12.2016.,user,Manuelni 5 brzina,Štof,Hečbek
172600,2004,Dizel,999999999,1461,60,10.2016.,dealer,Manuelni 5 brzina,Štof,Karavan
198000,2007,Dizel,3100,1489,63,08.2017.,user,Manuelni 5 brzina,Štof,Hečbek
256000,2003,Dizel,2300,1461,44,05.2017.,user,Manuelni 5 brzina,,Limuzina
170000,2007,Dizel,3850,1900,96,06.2016.,user,Manuelni 6 brzina,Štof,Karavan
176787,2005,Dizel,3100,1890,96,07.2016.,user,Manuelni 6 brzina,Štof,Karavan
112109,2009,Benzin,3850,1598,82,Nije registrovan,dealer,Manuelni 5 brzina,,Karavan
170000,2012,Dizel,6399,1461,66,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
190000,2005,Dizel,3290,1491,78,02.2017.,dealer,Manuelni 6 brzina,Štof,Hečbek
162247,2011,Dizel,5950,1461,66,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
193445,2004,Dizel,2550,1870,88,11.2016.,dealer,Manuelni 6 brzina,Štof,Hečbek
241000,2002,Benzin,1850,1390,70,Nije registrovan,dealer,Manuelni 5 brzina,Kombinovana koža,Limuzina
170000,2010,Dizel,6599,1461,63,Nije registrovan,dealer,Manuelni 5 brzina,,Hečbek
164000,2003,Dizel,3000,1900,88,Nije registrovan,dealer,Manuelni 6 brzina,Kombinovana koža,Hečbek
177989,2005,Dizel,2950,1898,88,Nije registrovan,dealer,Manuelni 6 brzina,Prirodna koža,Karavan
132407,2004,Dizel,2950,1897,88,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Limuzina
259000,2007,Dizel,3400,1461,63,07.2016.,dealer,Manuelni 5 brzina,Štof,Hečbek
137435,2004,Dizel,3250,1870,88,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
158000,2001,Dizel,1690,1870,75,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
198000,2005,Dizel,2650,1461,60,09.2016.,dealer,Manuelni 5 brzina,Štof,Hečbek
206000,2002,Dizel,2250,1870,75,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Limuzina
182000,2004,Benzin,2899,1600,83,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
180000,2007,Benzin + Gas (TNG),3500,1600,82,01.2017.,user,Manuelni 4 brzine,,Hečbek
139000,2004,Dizel,2700,1500,60,12.2016.,user,Manuelni 5 brzina,Štof,Hečbek
140000,2002,Dizel,2700,1452,60,Nije registrovan,user,Manuelni 5 brzina,Štof,Hečbek
197000,2004,Dizel,2650,1500,74,09.2016.,user,Manuelni 5 brzina,,Karavan
175000,2004,Dizel,3000,1461,74,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
123000,2001,Benzin,1900,1598,79,08.2017.,user,Manuelni 5 brzina,Štof,Karavan
161500,2002,Benzin,999999999,1600,79,12.2016.,user,Manuelni 5 brzina,Štof,Hečbek
266000,2004,Dizel,2450,1461,60,Nije registrovan,user,Manuelni 5 brzina,Štof,Karavan
56000,2014,Benzin + Gas (TNG),9700,1600,81,11.2016.,user,Manuelni 6 brzina,Štof,Hečbek
182150,2002,Benzin,1950,1390,70,11.2016.,user,Manuelni 5 brzina,Kombinovana koža,Karavan
200000,2001,Benzin,1100,1598,80,07.2017.,user,Manuelni 5 brzina,Štof,Hečbek
156280,2004,Dizel,2700,1500,74,04.2017.,user,Automatski,Štof,Limuzina
161257,2002,Dizel,3000,1900,88,04.2017.,user,Manuelni 5 brzina,Kombinovana koža,Hečbek
216000,2001,Dizel,1650,1896,72,04.2017.,user,Manuelni 5 brzina,Štof,Karavan
240000,1999,Benzin + Gas (TNG),1550,1598,66,06.2016.,user,Manuelni 5 brzina,Štof,Hečbek
200000,2002,Dizel,1650,1896,74,Nije registrovan,user,Manuelni 5 brzina,Štof,Karavan
165000,2003,Dizel,2400,1876,59,03.2017.,user,Manuelni 5 brzina,Štof,Limuzina
185000,2005,Dizel,2899,1490,60,01.2017.,user,Manuelni 5 brzina,Štof,Hečbek
190000,2001,Benzin,1650,1600,79,03.2017.,user,Manuelni 5 brzina,Prirodna koža,Kupe
245000,2003,Dizel,1950,1500,60,06.2017.,user,Manuelni 5 brzina,,Hečbek
37000,2012,Dizel,16500,1995,120,11.2016.,user,Manuelni 6 brzina,Kombinovana koža,Hečbek
177800,2008,Dizel,4400,1461,63,02.2017.,user,Manuelni 5 brzina,Štof,Karavan
289000,2002,Dizel,2400,1452,60,09.2016.,user,Manuelni 5 brzina,Štof,Hečbek
240000,2003,Benzin,1950,1400,72,05.2017.,user,Manuelni 5 brzina,Štof,Hečbek
161501,2005,Dizel,2800,1500,74,03.2017.,user,Manuelni 5 brzina,Štof,Hečbek
171360,2001,Benzin,1800,1390,70,07.2017.,user,Manuelni 5 brzina,,Hečbek
260000,2007,Benzin + Gas (TNG),3650,1598,75,06.2017.,user,Manuelni 5 brzina,Štof,Hečbek
218917,2007,Dizel,3200,1498,80,09.2016.,user,Manuelni 6 brzina,Štof,Hečbek
230000,2004,Dizel,3199,1500,60,05.2017.,user,Manuelni 5 brzina,Štof,Karavan
189000,2006,Dizel,5700,1870,96,04.2017.,user,Manuelni 6 brzina,Štof,Kabriolet/Roadster
334000,2003,Dizel,2950,1898,88,Nije registrovan,user,Manuelni 6 brzina,Štof,Limuzina
243000,2001,Dizel,1700,1900,75,10.2016.,user,Manuelni 5 brzina,Štof,Karavan
199410,2011,Dizel,5900,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Kupe
141251,2001,Benzin,1800,1600,77,Nije registrovan,user,Manuelni 5 brzina,Štof,Hečbek
168833,2007,Benzin,3350,1598,82,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
184000,2010,Dizel,6100,1461,63,Nije registrovan,user,Manuelni 5 brzina,Štof,Karavan
156000,2012,Dizel,7399,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
125000,2010,Dizel,6299,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,,Hečbek
196500,2004,Dizel,3100,1461,60,11.2016.,user,Manuelni 5 brzina,,Karavan
186500,2004,Dizel,2600,1461,74,02.2017.,user,Manuelni 5 brzina,Štof,Karavan
92000,2003,Benzin,2850,1596,82,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
160460,2011,Dizel,6650,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,,Karavan
214000,2009,Dizel,5999,1497,81,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Hečbek
190000,2003,Benzin,3000,1596,82,Nije registrovan,dealer,Manuelni 5 brzina,,Hečbek
231750,2003,Dizel,2850,1461,60,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
189325,2003,Dizel,2850,1461,60,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
194800,2002,Benzin,1950,1598,79,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
195000,2010,Dizel,6000,1870,96,09.2016.,user,Manuelni 6 brzina,Kombinovana koža,Karavan
165000,2007,Dizel,3800,1461,78,11.2016.,user,Manuelni 6 brzina,Štof,Hečbek
169039,2012,Dizel,7250,1461,66,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
148000,2002,Benzin,1999,1598,83,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Limuzina
170000,2012,Dizel,7500,1461,66,12.2016.,user,Manuelni 5 brzina,Štof,Limuzina
175000,2001,Benzin,1490,1596,79,Nije registrovan,user,Manuelni 5 brzina,Štof,Hečbek
166000,2006,Dizel,3500,1500,63,11.2016.,user,Manuelni 5 brzina,,Hečbek
218000,2001,Benzin,2100,1390,70,06.2017.,user,Manuelni 5 brzina,Štof,Limuzina
220000,2003,Dizel,2460,1500,60,05.2017.,user,Manuelni 5 brzina,Štof,Karavan
219000,2003,Dizel,3200,1900,88,05.2017.,user,Manuelni 6 brzina,Kombinovana koža,Hečbek
165000,2003,Dizel,2300,1500,60,03.2017.,user,Manuelni 5 brzina,Štof,Hečbek
198164,2001,Benzin,2000,1598,70,01.2017.,user,Manuelni 5 brzina,Štof,Hečbek
185000,2004,Dizel,3550,1875,88,05.2017.,user,Manuelni 6 brzina,Štof,Limuzina
150000,2005,Dizel,3500,1500,74,11.2016.,user,Manuelni 6 brzina,,Karavan
203000,2004,Dizel,3100,1500,74,01.2017.,user,Manuelni 5 brzina,Štof,Karavan
182002,2002,Dizel,1850,1870,59,03.2017.,user,Manuelni 5 brzina,Štof,Hečbek
91000,2009,Dizel,5500,1900,96,07.2017.,user,Manuelni 6 brzina,,Hečbek
207000,2007,Dizel,4500,1461,63,10.2016.,user,Manuelni 5 brzina,Štof,Limuzina
200000,2004,Dizel,3000,1890,88,11.2016.,user,Manuelni 6 brzina,Kombinovana koža,Karavan
276600,2000,Benzin,2100,1596,79,10.2016.,user,Manuelni 5 brzina,Velur,Hečbek
214000,2004,Dizel,2550,1500,74,11.2016.,user,Manuelni 5 brzina,Velur,Karavan
118015,2010,Dizel,8200,1461,78,08.2017.,user,Manuelni 6 brzina,Kombinovana koža,Karavan
147000,2012,Dizel,6750,1461,66,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
136000,2011,Dizel,6950,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
147988,2013,Dizel,6650,1500,66,Nije registrovan,user,Manuelni 5 brzina,Štof,Hečbek
212000,2003,Benzin + Gas (TNG),2550,1598,83,10.2016.,user,Manuelni 5 brzina,Štof,Hečbek
167000,2003,Dizel,2900,1870,88,07.2017.,user,Manuelni 6 brzina,Štof,Karavan
179685,2010,Dizel,6800,1461,63,06.2017.,user,Manuelni 5 brzina,Štof,Hečbek
210000,2002,Dizel,2090,1898,59,05.2017.,dealer,Manuelni 5 brzina,Štof,Karavan
220000,2003,Benzin + Gas (TNG),2500,1598,83,02.2017.,dealer,Manuelni 5 brzina,Štof,Hečbek
190000,2002,Benzin,750,1400,70,09.2016.,user,Manuelni 5 brzina,,Karavan
260400,2002,Dizel,2200,1900,75,09.2016.,user,Manuelni 5 brzina,,Hečbek
222000,2008,Dizel,3600,1500,63,06.2017.,user,Manuelni 5 brzina,Štof,Kupe
221000,2001,Dizel,1750,1900,66,12.2016.,user,Manuelni 5 brzina,Drugi,Hečbek
210000,2006,Dizel,3650,1490,63,08.2016.,user,Manuelni 5 brzina,,Hečbek
175260,2004,Dizel,2550,1500,74,11.2016.,user,Manuelni 5 brzina,Štof,Hečbek
199800,2003,Dizel,2490,1461,60,06.2017.,user,Manuelni 5 brzina,Štof,Hečbek
207000,2002,Dizel,2800,1900,88,03.2017.,user,Manuelni 6 brzina,Štof,Limuzina
124800,2012,Dizel,7900,1900,100,11.2016.,user,Manuelni 6 brzina,Kombinovana koža,Karavan
197000,2006,Benzin,3250,1390,72,Nije registrovan,user,Manuelni 5 brzina,Štof,Limuzina
187000,2002,Dizel,2350,1898,75,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
178000,2004,Dizel,2700,1900,88,05.2017.,user,Manuelni 6 brzina,Štof,Hečbek
170000,2002,Dizel,1950,1870,59,04.2016.,user,Manuelni 5 brzina,,Hečbek
206000,2004,Benzin,2700,1598,83,11.2016.,user,Manuelni 5 brzina,Štof,Karavan
146300,2004,Benzin,3400,1390,72,12.2015.,user,Manuelni 5 brzina,,Karavan
152563,2006,Dizel,3150,1496,78,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
154200,2003,Benzin,2950,1390,72,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Limuzina
185000,2003,Dizel,2100,1900,59,Nije registrovan,user,Manuelni 5 brzina,Štof,Karavan
175000,2004,Dizel,2399,1899,88,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
212880,2004,Dizel,3050,1870,88,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Limuzina
180000,2012,Dizel,6750,1461,66,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
199000,2006,Dizel,2550,1461,78,Nije registrovan,dealer,Manuelni 6 brzina,,Karavan
130800,2006,Dizel,3350,1995,110,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Hečbek
193000,2007,Dizel,3490,1498,58,08.2016.,dealer,Manuelni 6 brzina,Štof,Hečbek
256000,2009,Dizel,5500,1461,63,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
128485,2010,Dizel,5950,1461,63,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
182000,2003,Dizel,2000,1900,75,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
189000,2004,Dizel,3000,1500,74,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
154448,2013,Dizel,8350,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Hečbek
165000,2005,Dizel,2490,1465,74,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
167000,2004,Dizel,2799,1500,74,Nije registrovan,dealer,Manuelni 5 brzina,Kombinovana koža,Karavan
190000,2004,Dizel,2750,1461,60,Nije registrovan,dealer,Manuelni 5 brzina,,Hečbek
158000,2007,Dizel,3999,1898,96,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Hečbek
196082,2005,Dizel,2350,1870,96,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
170000,2002,Benzin,999999999,1598,77,12.2016.,dealer,Manuelni 5 brzina,Štof,Hečbek
164000,2003,Benzin,2699,1870,88,Nije registrovan,dealer,Manuelni 6 brzina,,Limuzina
190000,2001,Dizel,1800,1910,75,Nije registrovan,dealer,Manuelni 5 brzina,,Karavan
120000,2004,Benzin,2990,1400,74,Nije registrovan,dealer,Manuelni 5 brzina,,Karavan
151182,2003,Benzin,2890,1598,83,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
177000,2010,Dizel,5800,1500,81,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Karavan
179936,2011,Dizel,7490,1870,96,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Hečbek
220000,2010,Dizel,7500,1461,81,10.2016.,user,Manuelni 6 brzina,Kombinovana koža,Karavan
126600,2007,Dizel,3899,1870,96,Nije registrovan,user,Manuelni 6 brzina,Štof,Hečbek
200000,2003,Dizel,2400,1499,60,10.2016.,user,Manuelni 5 brzina,,Hečbek
160000,2012,Dizel,7300,1461,66,03.2017.,user,Manuelni 5 brzina,Velur,Karavan
132000,2006,Dizel,3250,1989,96,08.2016.,user,Manuelni 6 brzina,Štof,Hečbek
182000,2003,Benzin,3000,1400,75,08.2016.,user,Manuelni 5 brzina,Štof,Hečbek
190000,2006,Dizel,4000,1500,77,09.2016.,user,Manuelni 6 brzina,Štof,Hečbek
195636,2006,Dizel,4500,1461,78,08.2017.,user,Manuelni 6 brzina,Kombinovana koža,Hečbek
217000,2003,Dizel,1300,1465,60,Nije registrovan,user,Manuelni 5 brzina,Štof,Hečbek
