"kw","km","year","ac","gears","hatchback","wagon","coupe","price"
75,221321,2002,0,0,0,1,0,1750
59,231000,2001,0,0,0,1,0,1850
65,211000,2003,0,0,0,0,1,2700
96,171189,2008,1,0,1,0,0,4690
78,147883,2006,0,0,1,0,0,4049
83,138000,2004,1,0,0,1,0,2899
59,183500,2002,0,0,0,0,0,1790
60,260000,2003,0,0,1,0,0,2500
77,193000,2008,1,0,1,0,0,4050
79,161200,2001,0,0,1,0,0,1750
96,152000,2005,1,0,0,1,0,2800
74,204000,2002,1,0,1,0,0,1650
88,195000,2004,0,0,0,1,0,2550
103,245003,2001,0,0,0,0,1,2350
59,200000,2002,0,0,0,1,0,1350
1,165000,2004,1,0,1,0,0,2900
120,177286,2006,1,0,0,0,0,4000
66,154375,2010,0,0,0,1,0,6100
59,165000,2001,0,0,0,0,0,2190
88,196000,2004,1,0,0,0,0,3500
60,226000,2003,1,0,1,0,0,2499
74,151151,2004,0,0,0,1,0,2690
79,212000,2002,0,0,0,0,0,2350
81,144000,2012,0,0,0,0,0,7900
60,191048,2003,1,0,0,0,0,3100
83,147749,2005,0,0,1,0,0,3750
84,190000,2003,0,0,0,0,1,1999
79,184000,2001,0,0,0,0,1,1950
77,160400,2003,0,0,0,1,0,2299
60,199000,2003,1,0,0,0,1,2000
88,220000,2003,1,0,1,0,0,3300
80,128000,2001,1,0,1,0,0,2100
80,198558,2001,0,0,0,1,0,1950
88,180937,2003,1,0,0,1,0,2999
88,216000,2005,0,0,0,1,0,3250
81,175987,2005,1,0,0,1,0,3150
75,300000,2001,0,0,0,1,0,1400
88,165000,2003,0,0,1,0,0,2750
74,242000,2005,0,0,0,1,0,2770
74,200000,2004,1,0,1,0,0,2600
88,243000,2003,1,0,1,0,0,2320
60,165000,2006,0,0,1,0,0,3100
75,212000,2002,0,0,1,0,0,1500
79,137000,2002,0,0,1,0,0,2100
63,175260,2006,0,0,0,1,0,3350
83,233230,2005,1,0,0,1,0,3750
85,177537,2002,1,0,0,0,0,2250
75,279000,2001,0,0,0,0,0,1850
83,205000,2004,1,0,0,1,0,3200
88,243156,2005,1,0,0,1,0,3600
75,156900,2002,0,0,0,1,0,1599
79,126000,2010,0,0,1,0,0,7100
78,192000,2009,0,0,0,0,1,3950
77,211000,2007,0,0,0,0,0,3000
81,27000,2012,1,0,1,0,0,9500
70,157500,2002,0,0,0,0,1,1600
96,177000,2010,1,0,0,1,0,6800
81,228000,2006,0,0,0,1,0,3999
97,290000,2005,0,0,0,1,0,3200
88,183000,2005,1,0,0,0,0,3150
80,135000,2001,0,0,0,1,0,2000
60,163000,2003,0,0,1,0,0,3399
