"kw","km","year","ac","gears","hatchback","wagon","coupe","price"
79,221000,2001,0,1,0,1,0,2000
83,180000,2005,0,0,0,1,0,2950
70,199000,2001,0,0,0,1,0,1900
59,165000,2001,0,0,0,0,0,1750
96,189000,2012,0,0,0,1,0,7250
74,175765,2004,1,0,0,0,0,3200
63,153000,2010,0,0,1,0,0,6200
81,44000,2010,1,0,0,0,1,8690
60,189000,2005,1,0,1,0,0,3499
88,188000,2005,1,0,0,1,0,2700
80,85000,2007,1,0,1,0,0,4200
66,92000,2011,0,0,0,1,0,6550
78,207325,2010,1,0,0,1,0,5800
81,180585,2010,1,1,0,1,0,8250
66,163806,2011,0,0,0,1,0,6800
96,180000,2008,1,1,0,1,0,3700
118,29000,2012,1,0,1,0,0,18500
63,151951,2010,0,0,1,0,0,6690
63,151000,2011,0,0,1,0,0,6950
79,210000,2002,0,0,0,0,0,2000
103,165825,2001,0,0,0,0,1,1500
60,233253,2005,0,0,1,0,0,3200
70,190000,2005,1,1,0,1,0,3250
88,166000,2003,1,0,0,0,0,2800
75,320000,2001,0,0,0,1,0,1700
72,139300,2003,1,0,1,0,0,2999
63,158000,2010,0,0,1,0,0,6350
73,123000,2005,1,0,1,0,0,3400
60,169000,2004,0,0,0,0,0,2500
74,128203,2009,0,0,1,0,0,5490
66,183800,2010,0,0,0,1,0,6250
83,225663,2003,0,1,0,1,0,2500
88,160000,2004,0,0,0,0,0,3250
88,131780,2004,0,0,0,0,0,3490
60,198000,2005,0,0,1,0,0,3600
83,171000,2005,1,0,0,1,0,3450
63,129000,2009,0,0,1,0,0,6050
63,191000,2006,0,0,0,1,0,3750
63,167000,2010,0,0,1,0,0,5950
75,190000,2001,0,0,0,1,0,2000
63,150000,2006,0,0,1,0,0,4000
88,103000,2003,1,0,1,0,0,2500
88,163215,2003,1,0,1,0,0,2590
79,179130,2002,0,0,0,0,1,2000
88,179852,2003,1,0,1,0,0,2950
60,195000,2004,0,0,0,0,0,2900
88,295000,2004,0,0,0,1,0,3350
63,178000,2008,0,0,1,0,0,4200
60,152219,2003,0,0,0,0,0,2750
66,164000,2012,1,0,0,1,0,7650
83,263000,2003,1,0,1,0,0,2700
75,205000,2001,0,0,0,0,1,2000
75,182000,2003,1,0,1,0,0,3300
88,176000,2005,1,0,1,0,0,2600
80,106000,2010,1,0,0,1,0,7000
79,242000,2001,0,0,0,0,1,1250
60,248528,2003,0,0,1,0,0,2600
88,215000,2005,0,0,0,1,0,3590
88,184000,2005,0,0,1,0,0,2700
88,164000,2005,1,0,0,0,0,3250
60,180000,2003,1,0,1,0,0,2699
60,200000,2005,0,0,1,0,0,3599
88,210000,2004,1,0,0,1,0,2999
59,160000,2001,0,0,0,1,0,1700
88,186936,2004,1,0,0,1,0,2499
88,184000,2004,1,0,0,1,0,2890
78,232734,2007,0,0,0,1,0,4200
60,159306,2004,0,0,0,0,0,2900
88,184000,2005,0,0,0,1,0,2790
72,214000,2003,1,0,1,0,0,2390
96,176000,2011,1,0,0,1,0,7300
88,173000,2005,1,0,0,1,0,2700
83,230000,2003,1,0,0,1,0,2500
79,201650,2003,0,0,1,0,0,1650
82,149500,2004,0,0,0,1,0,3350
96,204000,2006,0,1,0,1,0,4100
70,180000,2002,0,0,0,1,0,2100
83,176000,2002,0,0,0,0,1,2400
83,240000,2002,0,0,0,0,0,2600
60,210000,2004,0,0,0,0,0,2450
63,146000,2005,0,0,1,0,0,2990
88,230000,2003,1,0,1,0,0,3300
59,175000,2001,0,0,0,1,0,2050
87,210000,2003,1,0,0,0,0,2399
76,205000,2001,0,0,0,1,0,2200
88,187000,2004,1,0,0,0,0,2800
75,180000,2002,0,0,0,0,0,2000
75,123777,2001,0,0,0,1,0,2250
74,146000,2004,0,0,0,1,0,3250
66,164248,2013,0,0,0,0,0,7100
81,52000,2010,1,0,0,0,1,8100
65,183000,2001,0,0,0,1,0,1790
88,180000,2004,0,0,0,1,0,3000
88,203000,2003,0,0,1,0,0,3100
74,183179,2004,1,0,0,1,0,3250
74,149000,2004,0,0,1,0,0,3300
78,175000,2008,0,0,0,0,0,4530
75,200000,2003,0,0,0,1,0,1699
78,195467,2005,0,0,1,0,0,2800
88,212328,2005,1,0,0,0,0,3290
74,155000,2004,0,0,1,0,0,3099
66,181000,2011,0,0,1,0,0,6350
88,168494,2004,1,0,0,1,0,2850
66,122434,2010,0,0,0,1,0,6490
118,142432,2010,1,0,0,0,1,8490
70,150000,2001,0,0,1,0,0,2000
60,258000,2004,0,0,0,1,0,2650
60,248000,2005,0,0,0,0,0,2800
96,182000,2007,1,0,0,1,0,4050
74,220000,2004,0,0,0,1,0,2600
96,233012,2006,0,0,0,1,0,2900
66,172000,2002,0,0,0,1,0,2200
96,90000,2009,1,0,1,0,0,5500
88,215000,2005,0,0,0,1,0,2599
74,204000,2002,1,0,0,0,1,1900
55,230000,2001,0,0,0,0,0,1860
60,219000,2003,0,0,1,0,0,2700
96,175000,2006,1,0,0,1,0,3900
70,135000,2002,0,0,0,1,0,2500
81,114000,2012,1,0,0,0,1,8300
88,133000,2004,0,0,1,0,0,2750
62,145000,2003,1,0,1,0,0,2900
85,162836,2005,1,0,0,0,0,3300
78,189770,2007,1,0,0,0,0,4300
75,136000,2002,0,0,0,1,0,1700
78,163000,2007,0,0,1,0,0,4200
82,260000,2005,0,0,0,1,0,4000
60,185200,2004,0,0,0,1,0,3100
83,124491,2003,1,0,1,0,0,3200
60,210000,2004,0,0,0,0,1,2900
96,164000,2009,0,0,0,1,0,6290
63,141000,2007,0,0,1,0,0,3800
81,140440,2013,1,1,0,1,0,8150
66,207017,2003,0,0,1,0,0,2400
79,185300,2000,0,0,0,0,1,1600
74,169000,2005,0,0,0,0,0,4100
88,189000,2004,1,0,0,1,0,3650
60,177470,2004,1,0,1,0,0,3000
60,175200,2005,0,0,1,0,0,2700
70,248000,2003,1,0,0,1,0,2250
88,220000,2004,0,0,0,1,0,2900
60,276000,2003,0,0,0,0,0,2500
74,149000,2005,0,0,0,1,0,3800
60,216000,2003,1,0,1,0,0,2600
88,224000,2003,0,0,1,0,0,2650
88,180000,2003,1,0,1,0,0,2600
83,182000,2003,1,0,1,0,0,2800
76,190000,2001,0,0,1,0,0,800
74,150000,2002,0,1,0,1,0,800
60,142000,2004,1,0,0,1,0,3950
63,123000,2008,0,0,0,0,0,5800
96,184000,2006,0,0,0,1,0,3300
72,172000,2004,0,0,0,0,0,4500
60,215000,2004,1,0,0,1,0,2500
78,132500,2008,1,0,0,0,0,5200
55,300000,2001,0,0,0,0,1,2000
79,144000,2002,0,0,1,0,0,2300
81,145000,2009,0,0,0,0,0,6400
79,173000,2000,0,0,0,0,0,1700
74,174000,2005,1,0,0,1,0,3750
79,237000,2003,0,0,0,1,0,1900
63,180000,2005,0,0,1,0,0,3200
63,236000,2003,0,0,1,0,0,2500
63,251000,2006,0,0,1,0,0,3500
79,178000,2003,0,0,0,1,0,1550
60,160000,2005,0,0,0,1,0,4000
78,160000,2006,0,0,1,0,0,3990
59,210000,2000,0,0,0,1,0,1850
77,239000,2003,0,0,1,0,0,2400
77,154000,2009,1,0,1,0,0,6150
79,184000,2002,0,0,0,0,1,2100
96,188000,2006,0,0,0,1,0,4000
66,103000,2009,0,0,1,0,0,6250
79,230000,2000,0,0,0,0,0,1700
110,213000,2007,1,0,0,1,0,4300
72,172168,2004,0,0,0,0,0,3499
77,212000,2006,0,0,0,1,0,4100
85,131000,2003,1,0,0,0,0,3400
74,162000,2004,0,0,1,0,0,3199
88,220000,2004,1,0,0,1,0,3000
96,207000,2010,0,0,0,1,0,6499
78,200000,2011,1,0,0,1,0,8000
88,160000,2003,1,0,0,0,0,3099
60,176000,2003,0,0,1,0,0,2900
63,300000,2008,0,0,0,0,0,2950
60,219861,2003,1,0,1,0,0,2750
79,213000,2001,0,0,1,0,0,2050
75,184000,2001,0,0,1,0,0,2199
60,172227,2003,1,0,1,0,0,2950
60,214000,2005,0,0,1,0,0,2850
81,69000,2010,1,0,0,0,1,9500
74,175000,2005,1,1,0,0,0,3600
88,185000,2003,0,0,0,0,0,3200
70,210000,2001,0,0,1,0,0,2000
86,51000,2009,1,0,0,0,1,9000
59,250000,2002,0,0,0,1,0,1999
74,98500,2009,1,0,1,0,0,6200
78,171717,2009,0,0,1,0,0,5450
60,195478,2003,0,0,1,0,0,2600
61,166800,2005,1,0,0,0,0,3200
60,193000,2004,0,0,0,1,0,3600
60,135000,2004,0,0,1,0,0,3399
96,253000,2008,0,0,1,0,0,4250
63,170000,2008,0,0,0,0,0,4600
63,177000,2006,0,0,0,1,0,2850
96,203000,2007,1,0,0,1,0,4150
75,220354,2002,0,0,0,1,0,1900
60,115000,2004,0,0,1,0,0,2700
79,196000,2001,0,0,0,1,0,2300
88,225000,2003,1,0,0,0,0,2850
74,88000,2011,0,0,0,0,0,6750
79,201500,2001,0,0,0,0,1,2250
62,196000,2009,0,0,0,1,0,4600
59,210000,2001,0,0,0,1,0,2100
72,199000,2003,0,0,1,0,0,2200
60,194000,2004,0,0,0,0,1,2790
88,167000,2004,0,0,0,1,0,2800
66,159200,2003,1,0,0,0,0,2700
79,190000,2002,0,0,1,0,0,1799
75,71100,2010,0,0,1,0,0,6900
75,100000,2002,1,0,0,1,0,2100
63,162000,2007,0,0,1,0,0,3500
64,171080,2005,0,0,0,1,0,3600
88,217000,2003,1,0,1,0,0,2950
88,206450,2003,1,0,1,0,0,2950
88,190000,2003,1,0,1,0,0,2799
83,169000,2005,1,0,0,1,0,3200
60,123900,2005,0,0,1,0,0,3300
63,190000,2007,0,0,1,0,0,4000
79,251121,2002,0,0,0,1,0,2155
63,202000,2006,0,0,0,1,0,3750
66,131000,2010,0,0,0,1,0,5900
96,145000,2006,1,0,0,1,0,5000
75,260000,2001,0,0,0,1,0,1750
88,212300,2003,1,0,0,0,0,2800
83,175000,2003,1,0,1,0,0,3100
83,195000,2005,1,0,1,0,0,3199
75,185000,2007,1,0,0,1,0,2900
70,136000,2001,0,0,0,0,0,2199
96,199455,2008,0,0,0,1,0,4800
88,223000,2001,0,0,0,1,0,2399
60,250000,2005,0,0,1,0,0,2250
96,212000,2007,0,0,0,1,0,4000
76,180000,2008,1,0,0,1,0,4500
79,276000,2001,0,0,0,1,0,2150
77,197000,2006,1,0,1,0,0,4000
88,186000,2004,1,0,0,0,0,3530
88,211000,2004,0,0,0,0,0,3150
88,226500,2003,0,0,0,0,0,2450
60,220000,2005,0,0,1,0,0,2500
96,182000,2010,0,0,0,1,0,6600
88,230000,2004,1,0,0,1,0,2700
79,158414,2001,0,0,0,1,0,2100
88,165209,2004,1,0,0,1,0,3200
86,216000,2004,1,0,0,1,0,2350
5,120000,2002,0,0,0,0,0,1850
75,185000,2002,0,0,1,0,0,2350
75,121000,2002,0,0,0,0,1,1100
88,180000,2005,1,0,0,1,0,2750
60,298000,2004,0,0,1,0,0,3450
85,234600,2002,0,0,0,0,0,2400
66,203194,2004,1,0,1,0,0,3100
60,210000,2004,0,0,1,0,0,3300
74,182000,2004,0,0,0,0,0,3000
81,58000,2010,0,0,0,0,0,7000
79,210000,2001,0,0,1,0,0,2000
81,180000,2010,1,0,1,0,0,7000
72,160000,2003,0,0,1,0,0,2990
70,195500,2002,0,0,0,1,0,2299
74,33000,2013,1,0,1,0,0,8200
78,142000,2006,1,0,0,1,0,4300
74,172820,2004,0,0,0,1,0,3100
78,108000,2006,1,0,1,0,0,4999
96,138450,2007,0,0,0,1,0,3850
60,184010,2004,0,0,1,0,0,3700
60,180000,2004,1,0,0,0,0,3150
60,187000,2005,0,0,1,0,0,2750
60,165000,2004,1,0,1,0,0,2800
83,263600,2005,0,0,0,1,0,3050
83,150551,2004,1,0,0,1,0,3200
88,197698,2003,1,0,1,0,0,2900
51,87180,2002,0,0,0,1,0,2100
88,260000,2003,0,0,1,0,0,2399
79,224000,2001,0,0,0,0,1,1700
88,197000,2004,0,0,0,0,0,2950
60,250000,2002,0,0,0,1,0,2050
48,230000,2000,0,0,1,0,0,1500
88,165000,2003,1,0,1,0,0,3700
60,167000,2004,0,0,1,0,0,3500
83,155235,2003,1,0,1,0,0,2800
88,202000,2003,0,0,1,0,0,2800
78,196000,2006,0,0,0,0,0,3150
63,192000,2008,0,0,1,0,0,3500
88,120000,2003,0,0,1,0,0,3000
78,169000,2006,1,0,1,0,0,3150
88,155000,2006,1,1,0,1,0,4500
82,190000,2006,0,0,0,0,0,3700
59,192000,2002,0,0,1,0,0,2480
72,154231,2008,0,0,0,0,0,5499
59,157000,2001,0,0,1,0,0,1850
88,187000,2004,0,0,1,0,0,2850
88,161000,2004,1,0,1,0,0,3000
88,199320,2003,1,0,0,0,0,3100
74,197000,2001,0,0,0,1,0,1450
79,217000,2001,0,0,0,0,0,2800
83,152000,2003,1,0,1,0,0,2350
83,123000,2003,0,0,0,0,1,2500
99,203000,2004,1,1,0,0,0,3300
63,150000,2007,0,0,0,0,0,3000
75,116000,2001,0,0,0,0,0,2300
81,253220,2012,0,0,0,1,0,6390
75,200000,2002,0,0,0,1,0,2290
70,178230,2002,0,0,0,1,0,1800
60,185000,2004,0,0,1,0,0,2699
99,112500,2008,0,0,0,1,0,4490
68,187650,2010,0,0,1,0,0,5600
96,210000,2007,0,1,0,1,0,4300
99,209500,2007,1,0,0,1,0,4200
70,102000,2001,1,0,1,0,0,2200
75,198652,2001,0,0,0,1,0,950
96,186000,2005,0,0,0,1,0,3250
63,152000,2009,0,0,0,0,0,4999
65,210000,2008,0,0,0,0,0,4000
110,152000,2008,1,0,0,1,0,4900
169,84000,2007,1,0,0,0,1,9200
63,208000,2007,0,0,1,0,0,4200
72,166500,2003,0,0,1,0,0,2750
63,180000,2007,0,0,0,0,0,3999
60,150000,2004,1,0,0,0,0,3000
88,235000,2003,0,0,0,0,0,2850
63,175000,2007,0,0,1,0,0,3990
96,172937,2006,1,0,0,1,0,4500
66,160000,2004,1,0,0,0,0,2800
78,198000,2006,0,0,0,1,0,3800
74,201100,2002,0,0,0,1,0,2200
79,254000,2000,0,0,0,0,0,2100
88,190000,2003,1,0,1,0,0,3320
88,197431,2004,1,0,0,1,0,2600
60,182560,2004,0,0,1,0,0,2600
75,178000,2001,0,0,0,1,0,2200
98,114000,2004,1,1,1,0,0,3199
83,115000,2003,0,0,1,0,0,3000
88,195000,2003,0,0,0,0,0,2650
81,152000,2007,0,0,0,1,0,3450
63,170701,2006,1,0,1,0,0,3700
60,165109,2005,0,0,0,0,0,2900
88,223000,2004,1,0,0,1,0,3400
60,163000,2003,0,0,0,0,0,2999
75,174000,2001,0,0,0,0,1,1990
66,177432,2013,1,0,0,1,0,7890
88,171261,2003,0,0,0,0,0,2800
63,168453,2010,0,0,1,0,0,5999
78,143000,2007,0,0,0,1,0,3800
74,230000,2004,1,0,1,0,0,3300
96,170000,2009,1,0,1,0,0,6800
60,197000,2003,0,0,0,0,0,3000
78,157000,2006,1,0,0,1,0,4450
78,200000,2008,0,0,1,0,0,4550
60,170000,2005,0,0,1,0,0,2500
88,212000,2004,1,0,1,0,0,2900
70,225000,2003,0,0,0,0,0,2350
88,175000,2004,1,0,1,0,0,2900
63,103000,2006,0,0,1,0,0,3950
74,120000,2001,0,0,0,1,0,1850
63,121000,2008,0,0,1,0,0,3800
63,201000,2003,0,0,0,0,0,2950
75,165000,2003,0,0,0,1,0,1950
83,246000,2003,1,0,0,1,0,2800
88,210000,2004,0,0,0,1,0,2999
60,307500,2004,0,0,0,0,0,3150
63,170000,2004,0,0,0,1,0,2999
75,192000,2001,0,0,1,0,0,2550
63,153000,2008,0,0,0,0,0,5100
75,180000,2002,0,0,1,0,0,2850
108,170000,2003,1,0,1,0,0,2500
75,280000,2000,0,0,1,0,0,1950
88,215000,2004,0,0,0,1,0,3100
63,136000,2008,1,0,1,0,0,4200
68,149359,2011,0,0,0,0,0,6900
78,220000,2007,0,0,0,0,0,3800
66,158000,2010,0,0,1,0,0,6750
74,186000,2005,0,0,1,0,0,3400
88,162000,2003,1,0,1,0,0,3300
78,170000,2006,1,0,0,1,0,3450
79,181000,2001,0,0,0,0,1,2350
81,167000,2011,1,0,0,1,0,7550
78,165000,2007,0,0,1,0,0,4200
88,209000,2003,1,0,1,0,0,3199
78,229500,2006,0,0,0,0,0,3150
60,225000,2004,0,0,1,0,0,3100
63,207000,2008,0,0,1,0,0,4200
79,190000,2002,0,0,0,1,0,2100
88,187000,2004,0,0,1,0,0,3000
79,139133,2002,0,0,0,0,1,1650
79,153652,2003,0,0,0,1,0,1999
98,205000,2008,1,1,0,1,0,3300
80,200000,2003,1,0,1,0,0,2550
74,105000,2010,0,0,0,1,0,7350
88,200000,2005,1,0,1,0,0,3700
60,185000,2003,0,0,1,0,0,2500
70,222320,2001,0,0,0,0,1,1890
98,200000,2004,1,0,0,1,0,2900
82,159340,2006,1,0,0,1,0,3150
88,191231,2003,1,0,1,0,0,2749
63,171662,2009,1,0,0,0,0,6290
60,178000,2003,0,0,1,0,0,2500
96,167000,2009,1,0,0,1,0,6500
88,245000,2003,0,0,1,0,0,2300
88,185335,2003,1,0,1,0,0,2450
77,228000,2006,1,0,1,0,0,3900
83,204000,2004,1,0,0,1,0,3300
60,189000,2003,1,0,1,0,0,2600
63,204200,2006,1,0,1,0,0,3550
60,236000,2004,0,0,1,0,0,3100
83,178500,2003,1,0,1,0,0,3300
96,166900,2007,1,1,1,0,0,4300
81,192730,2011,0,1,0,1,0,7290
66,170870,2012,0,0,0,1,0,7600
79,183000,2001,0,0,0,0,1,1750
79,288333,2002,0,0,1,0,0,1400
75,168000,2002,0,0,0,1,0,2700
74,156453,2004,0,0,1,0,0,3200
60,230000,2004,0,0,1,0,0,2800
72,146300,2004,1,0,0,1,0,3400
66,240000,2002,0,0,0,0,0,2700
75,264000,2002,0,0,0,1,0,2080
60,220000,2004,0,0,0,0,0,3000
83,176558,2003,1,0,1,0,0,3250
