78,147312,2009,1,0,2
88,136444,2003,1,0,0
60,115653,2003,1,0,0
70,201000,2001,0,0,2
79,196000,2003,0,0,2
66,150000,2010,0,0,1
63,188000,2006,1,0,1
70,154300,2001,0,0,0
72,142000,2003,1,0,0
74,125000,2005,0,0,1
72,144091,2002,0,0,1
74,188000,2005,0,0,2
88,156300,2004,1,0,0
60,198501,2003,1,0,0
60,110212,2003,0,0,1
88,127548,2003,0,0,1
63,153000,2008,0,0,3
88,176000,2004,0,0,0
88,205000,2004,1,0,2
63,140000,2008,0,0,0
66,162132,2010,1,0,2
66,117398,2011,0,0,1
96,207000,2009,1,0,1
75,220000,2001,0,0,1
88,156000,2004,1,0,2
78,147312,2009,1,0,2
88,136444,2003,1,0,0
60,115653,2003,1,0,0
70,201000,2001,0,0,2
79,196000,2003,0,0,2
66,150000,2010,0,0,1
63,188000,2006,1,0,1
70,154300,2001,0,0,0
72,142000,2003,1,0,0
74,125000,2005,0,0,1
72,144091,2002,0,0,1
74,188000,2005,0,0,2
88,156300,2004,1,0,0
60,198501,2003,1,0,0
60,110212,2003,0,0,1
88,127548,2003,0,0,1
63,153000,2008,0,0,3
88,176000,2004,0,0,0
88,205000,2004,1,0,2
63,140000,2008,0,0,0
66,162132,2010,1,0,2
66,117398,2011,0,0,1
96,207000,2009,1,0,1
75,220000,2001,0,0,1
88,156000,2004,1,0,2
78,174000,2006,1,0,2
66,160915,2012,0,0,0
66,142000,2012,0,0,1
60,150000,2006,1,0,0
66,146468,2010,0,0,1
66,164835,2011,0,0,1
81,172609,2010,1,0,2
88,175547,2003,1,0,1
70,165000,2001,0,0,2
96,218340,2005,1,0,2
75,266000,2005,0,0,2
77,155000,2007,0,0,1
96,215000,2006,0,0,2
85,230000,2004,1,0,2
63,144000,2004,0,0,1
63,153000,2010,0,0,0
88,161500,2004,1,0,2
88,164500,2004,1,0,1
96,162200,2005,1,0,1
66,125000,2011,0,0,1
66,169134,2012,1,0,1
81,175400,2011,1,1,2
96,146000,2010,0,0,2
78,90000,2006,1,0,0
88,170000,2003,1,0,1
81,190000,2013,0,0,1
74,172801,2005,1,0,2
88,211000,2005,0,0,1
88,152000,2004,0,0,2
77,165500,2005,0,0,2
83,130000,2003,0,0,1
74,139800,2004,1,0,1
60,172652,2003,1,0,0
66,161966,2011,0,0,0
96,146000,2006,1,0,2
96,189007,2006,1,0,2
96,175000,2006,1,0,2
60,217581,2005,1,0,0
83,198300,2002,0,0,1
63,171000,2004,1,0,2
63,152000,2006,0,0,2
83,74777,2005,0,0,0
88,172000,2004,1,0,0
79,156149,2002,0,0,0
74,171485,2004,1,0,1
82,170000,2006,0,1,2
74,136000,2005,0,0,2
88,165278,2003,1,0,2
63,161985,2010,0,0,1
74,146447,2004,1,0,1
96,150356,2006,1,0,2
201,0,2014,1,0,3
78,198000,2006,1,0,2
60,138000,2003,0,0,0
78,115000,2009,1,0,3
78,160000,2007,0,0,2
